angry0,angry1,box0,box1,disgust0,disgust1,fear0,fear1,happy0,happy1,neutral0,neutral1,sad0,sad1,surprise0,surprise1
0.0,,"[557, 244, 186, 236]",,0.0,,0.0,,0.93,,0.07,,0.0,,0.0,
0.0,,"[557, 244, 186, 237]",,0.0,,0.0,,0.87,,0.13,,0.0,,0.0,
0.0,,"[557, 243, 187, 238]",,0.0,,0.0,,0.88,,0.12,,0.0,,0.0,
0.0,,"[556, 244, 187, 237]",,0.0,,0.0,,0.88,,0.12,,0.0,,0.0,
0.0,,"[557, 247, 184, 232]",,0.0,,0.0,,0.96,,0.04,,0.0,,0.0,
0.0,,"[556, 243, 185, 236]",,0.0,,0.0,,0.97,,0.03,,0.0,,0.0,
0.0,,"[559, 241, 188, 240]",,0.0,,0.0,,0.98,,0.02,,0.0,,0.0,
0.0,,"[558, 239, 186, 239]",,0.0,,0.0,,0.94,,0.06,,0.0,,0.0,
0.0,,"[558, 237, 187, 242]",,0.0,,0.0,,0.92,,0.08,,0.0,,0.0,
0.0,,"[558, 239, 187, 240]",,0.0,,0.0,,0.95,,0.05,,0.0,,0.0,
0.0,,"[558, 237, 187, 242]",,0.0,,0.0,,0.91,,0.09,,0.0,,0.0,
0.0,,"[558, 238, 187, 241]",,0.0,,0.0,,0.95,,0.05,,0.0,,0.0,
0.0,,"[556, 244, 184, 235]",,0.0,,0.0,,0.97,,0.03,,0.0,,0.0,
0.0,,"[557, 238, 188, 241]",,0.0,,0.0,,0.96,,0.04,,0.0,,0.0,
0.0,,"[560, 242, 183, 236]",,0.0,,0.0,,0.97,,0.03,,0.0,,0.0,
0.0,,"[560, 243, 183, 236]",,0.0,,0.0,,0.99,,0.01,,0.0,,0.0,
0.0,,"[560, 241, 184, 237]",,0.0,,0.0,,0.97,,0.03,,0.0,,0.0,
0.0,,"[559, 243, 187, 238]",,0.0,,0.0,,0.82,,0.17,,0.0,,0.0,
0.0,,"[557, 238, 188, 240]",,0.0,,0.0,,0.94,,0.06,,0.0,,0.0,
0.0,,"[560, 242, 184, 237]",,0.0,,0.0,,0.99,,0.01,,0.0,,0.0,
0.0,,"[558, 241, 186, 239]",,0.0,,0.0,,0.98,,0.02,,0.0,,0.0,
0.0,,"[558, 241, 184, 238]",,0.0,,0.0,,0.97,,0.03,,0.0,,0.0,
0.0,,"[557, 243, 184, 235]",,0.0,,0.0,,0.99,,0.01,,0.0,,0.0,
0.0,,"[557, 245, 184, 232]",,0.0,,0.0,,0.97,,0.01,,0.0,,0.02,
0.0,,"[557, 244, 184, 234]",,0.0,,0.0,,0.97,,0.0,,0.0,,0.02,
0.0,,"[558, 245, 183, 233]",,0.0,,0.0,,0.97,,0.02,,0.0,,0.01,
0.0,,"[558, 246, 185, 237]",,0.0,,0.0,,0.92,,0.07,,0.0,,0.01,
0.0,,"[558, 246, 184, 235]",,0.0,,0.0,,0.83,,0.16,,0.0,,0.0,
0.01,,"[558, 245, 184, 236]",,0.0,,0.01,,0.6,,0.37,,0.01,,0.01,
0.01,,"[559, 244, 185, 237]",,0.0,,0.01,,0.72,,0.22,,0.0,,0.04,
0.0,,"[556, 244, 186, 236]",,0.0,,0.0,,0.93,,0.03,,0.0,,0.04,
0.01,,"[557, 244, 185, 235]",,0.0,,0.01,,0.88,,0.04,,0.0,,0.06,
0.01,,"[560, 243, 185, 238]",,0.0,,0.02,,0.78,,0.12,,0.0,,0.07,
0.02,,"[563, 245, 183, 236]",,0.0,,0.02,,0.57,,0.31,,0.01,,0.07,
0.01,,"[561, 245, 183, 236]",,0.0,,0.01,,0.5,,0.45,,0.01,,0.02,
0.02,,"[560, 246, 183, 234]",,0.0,,0.02,,0.51,,0.36,,0.01,,0.08,
0.02,,"[563, 246, 181, 236]",,0.0,,0.0,,0.59,,0.38,,0.01,,0.0,
0.0,,"[564, 225, 187, 266]",,0.0,,0.0,,0.99,,0.01,,0.0,,0.0,
0.0,,"[556, 220, 192, 276]",,0.0,,0.0,,0.99,,0.0,,0.0,,0.01,
0.0,,"[563, 224, 184, 271]",,0.0,,0.0,,0.92,,0.0,,0.0,,0.08,
0.0,,"[558, 246, 182, 249]",,0.0,,0.0,,0.87,,0.0,,0.0,,0.13,
0.01,,"[557, 250, 183, 248]",,0.0,,0.0,,0.95,,0.0,,0.0,,0.04,
0.01,,"[556, 250, 185, 249]",,0.0,,0.0,,0.93,,0.0,,0.0,,0.06,
0.01,,"[557, 250, 185, 251]",,0.0,,0.01,,0.88,,0.0,,0.0,,0.11,
0.01,,"[557, 251, 183, 248]",,0.0,,0.0,,0.92,,0.0,,0.0,,0.07,
0.01,,"[556, 244, 191, 262]",,0.0,,0.01,,0.88,,0.0,,0.0,,0.1,
0.02,,"[557, 253, 182, 248]",,0.0,,0.01,,0.91,,0.0,,0.0,,0.05,
0.02,,"[559, 255, 182, 246]",,0.0,,0.01,,0.84,,0.0,,0.0,,0.13,
0.02,,"[555, 243, 188, 263]",,0.0,,0.01,,0.81,,0.0,,0.0,,0.16,
0.01,,"[555, 240, 189, 265]",,0.0,,0.01,,0.6,,0.0,,0.0,,0.38,
0.02,,"[555, 241, 187, 265]",,0.0,,0.01,,0.64,,0.0,,0.0,,0.34,
0.01,,"[558, 238, 188, 268]",,0.0,,0.01,,0.69,,0.0,,0.0,,0.29,
0.0,,"[557, 238, 189, 270]",,0.0,,0.0,,0.74,,0.0,,0.0,,0.26,
0.01,,"[558, 238, 190, 267]",,0.0,,0.0,,0.65,,0.0,,0.0,,0.34,
0.03,,"[556, 235, 191, 273]",,0.0,,0.0,,0.79,,0.0,,0.0,,0.18,
0.02,,"[556, 242, 186, 261]",,0.0,,0.01,,0.6,,0.0,,0.0,,0.37,
0.0,,"[558, 248, 184, 253]",,0.0,,0.0,,0.8,,0.0,,0.0,,0.2,
0.0,,"[556, 248, 186, 253]",,0.0,,0.0,,0.82,,0.0,,0.0,,0.17,
0.02,,"[561, 245, 183, 256]",,0.0,,0.0,,0.59,,0.0,,0.0,,0.39,
